year,pov100,simpov100,pov200,simpov200,povrate100,simrate100,povrate200,simrate200,sex,black
2009,9484675.370000001,9966208.600000018,23399346.66000013,23994061.61000009,.10884584,.1143719,.26853019,.27535513,Male,
2009,12926740.26999997,12348815.54999995,27958922.11999989,27500504.13999994,.14382082,.13739093,.31106645,.30596617,Female,
2010,10148706.69000004,10510122.11000002,24044354.37999988,24418034.92999984,.1157001,.11982041,.27411711,.27837726,Male,
2010,13664200.86999999,13102999.91999998,28812465.55000004,28402160.87000006,.15119252,.1449829,.31880599,.31426603,Female,
2011,10047323.38999999,10550734.76000001,24504986.19000008,25102140.35000013,.11431153,.120039,.27880087,.28559488,Male,
2011,13950002.35999995,13373931.48999991,29576599.87999994,29168801.16999991,.15384254,.14748955,.3261748,.32167754,Female,
2012,9637784.640000019,10198315.45000003,23670435.94999978,24264725.87999987,.11276892,.11932753,.27696091,.28391451,Male,
2012,12947955.79999999,12456505.92999999,27871543.62999978,27391653.58999977,.14900509,.14334948,.32074574,.31522316,Female,
2013,18912374.27999995,20198988.02999998,47510499.97000019,48943284.6000002,.109477,.11692475,.27502134,.28331524,Male,
2013,26019350.22999993,24843801.25999992,56290074.63000017,55345177.24000005,.14812347,.14143129,.32044926,.31507012,Female,
2014,9530797.400000015,10113704.84000002,23220535.36,24024007.06999998,.10906465,.11573509,.26572171,.27491614,Male,
2014,13342528.35999999,12839507.61,28374078.31999998,28007600.97999993,.15044947,.14477745,.31994423,.31581187,Female,
2015,8673690.090000007,9307180.880000008,21663437.69000009,22392727.4900001,.098818108,.10603538,.24680845,.25511715,Male,
2015,12093439.46999997,11548708.95999998,26600548.22999984,26226337.46999988,.13598682,.1298615,.29911458,.29490671,Female,
2016,7837887.280000002,8478629.230000006,19962719.65000003,20983670.97000002,.089340568,.096644104,.22754611,.23918347,Male,
2016,11534932.22,11090439.73999999,24903237.77000013,24668885.30000016,.12941357,.1244267,.2793963,.27676702,Female,
2017,7688742.230000018,8288395.210000015,20135929.88999993,20913357.56999994,.086883806,.09365996,.22753866,.2363237,Male,
2017,11239944.83000004,10666994.79000004,25241228.95000005,24716443.49000009,.1254559,.11906085,.2817328,.27587536,Female,
2018,7382526.739999993,7880488.559999998,19607807.59000003,20359136.73000001,.083472453,.089102782,.22170076,.23019585,Male,
2018,10771868.48000002,10138741.16000002,24732795.82999992,24182304.34999993,.11992459,.11287591,.2753534,.2692247,Female,
2019,6856177.380099997,7102979.286699992,18518834.47399994,19050918.78719998,.07599096,.078726403,.2052549,.21115229,Male,
2019,9397882.900100008,8837976.122899992,22203126.89059997,21696254.06609996,.10407302,.097872563,.24587947,.24026631,Female,
